iter	RMSE
0	14.92004234
1	14.8279415
2	14.73205963
3	14.63399665
4	14.54584177
5	14.47109842
6	14.377891
7	14.28511214
8	14.19723559
9	14.10294938
10	14.00988581
11	13.92099573
12	13.83300719
13	13.74223218
14	13.66939072
15	13.58652934
16	13.51713677
17	13.43572865
18	13.34987722
19	13.26699264
20	13.18176856
21	13.10981202
22	13.02827524
23	12.96201209
24	12.88174992
25	12.80812137
26	12.72871636
27	12.6610646
28	12.58145056
29	12.51492978
30	12.4415744
31	12.38178941
32	12.30987401
33	12.23989057
34	12.16971264
35	12.1088105
36	12.04419044
37	11.98371319
38	11.91541597
39	11.84732529
40	11.78241502
41	11.71546563
42	11.65711146
43	11.59065183
44	11.52535147
45	11.47054386
46	11.40853756
47	11.34902989
48	11.2863883
49	11.2222227
50	11.15673005
51	11.0934591
52	11.03377375
53	10.97261358
54	10.9202295
55	10.86667362
56	10.81197738
57	10.75532421
58	10.69998241
59	10.64554107
60	10.59725001
61	10.54226498
62	10.49202943
63	10.43816281
64	10.38374247
65	10.33920679
66	10.2947359
67	10.24357781
68	10.19915069
69	10.14710159
70	10.09715979
71	10.04403749
72	9.998896794
73	9.950078098
74	9.911024306
75	9.867110803
76	9.818645255
77	9.768873411
78	9.730313141
79	9.684058677
80	9.638006281
81	9.594720339
82	9.557510825
83	9.510756138
84	9.466922417
85	9.426907128
86	9.382340906
87	9.344254898
88	9.303314215
89	9.264264358
90	9.222220082
91	9.184924129
92	9.144452027
93	9.10471246
94	9.069815344
95	9.028496941
96	8.989116161
97	8.949830988
98	8.91853744
99	8.882681522
100	8.843550837
101	8.813834356
102	8.776311145
103	8.739094297
104	8.702064045
105	8.672530171
106	8.640344752
107	8.610203903
108	8.581496723
109	8.55062557
110	8.516544358
111	8.481161211
112	8.453978641
113	8.428379103
114	8.396684783
115	8.36718503
116	8.341534435
117	8.316173543
118	8.284505583
119	8.256433543
120	8.226664418
121	8.201775075
122	8.178115058
123	8.15013633
124	8.120219749
125	8.094653474
126	8.067600943
127	8.041240995
128	8.018564791
129	7.99364102
130	7.964204097
131	7.942950625
132	7.91382432
133	7.885860608
134	7.859569909
135	7.833383484
136	7.807209877
137	7.783603379
138	7.758019715
139	7.731979648
140	7.710653385
141	7.687000565
142	7.666964271
