iter	Passed	Remaining
0	1	1544
1	2	1141
2	2	976
3	3	892
4	4	845
5	4	811
6	5	787
7	6	768
8	6	754
9	7	741
10	8	730
11	8	726
12	9	718
13	10	710
14	10	705
15	11	698
16	11	693
17	12	688
18	13	683
19	13	679
20	15	713
21	16	711
22	16	706
23	17	702
24	17	698
25	18	695
26	19	692
27	19	689
28	20	686
29	21	683
30	21	683
31	22	680
32	23	679
33	23	677
34	24	675
35	25	673
36	25	671
37	26	669
38	27	668
39	27	665
40	28	671
41	29	673
42	30	671
43	30	669
44	31	667
45	32	666
46	32	664
47	33	663
48	34	662
49	34	660
50	35	659
51	36	657
52	36	656
53	37	654
54	38	653
55	38	651
56	39	649
57	39	647
58	40	646
59	41	645
60	41	643
61	43	653
62	43	653
63	44	652
64	45	651
65	45	650
66	46	648
67	47	647
68	47	646
69	48	645
70	49	644
71	49	643
72	50	642
73	51	640
74	51	639
75	52	638
76	53	637
77	53	636
78	54	635
79	55	634
80	55	633
81	56	636
82	57	637
83	58	635
84	58	634
85	59	633
86	60	633
87	60	631
88	61	630
89	62	629
90	62	628
91	63	626
92	64	625
93	64	624
94	65	623
95	66	622
96	66	621
97	67	620
98	68	619
99	68	618
100	69	617
101	70	617
102	71	620
103	71	619
104	72	618
105	73	617
106	73	616
107	74	615
108	75	614
109	75	613
110	76	612
111	77	610
112	77	610
113	78	609
114	79	608
115	79	607
116	80	606
117	80	604
118	81	603
119	82	602
120	82	601
121	83	600
122	84	601
123	85	602
124	85	601
125	86	600
126	87	601
127	88	602
128	89	601
129	89	601
130	90	601
131	91	601
132	92	600
133	92	599
134	93	598
135	94	597
136	94	596
137	95	595
138	95	594
139	96	593
140	97	592
141	97	591
142	98	593
143	99	592
144	100	591
145	101	591
146	101	590
147	102	589
148	102	588
149	103	587
150	104	586
151	104	585
152	105	584
153	106	583
154	106	582
155	107	581
156	108	580
157	108	579
158	109	578
159	109	577
160	110	576
161	111	575
162	112	575
163	113	576
164	113	576
165	114	576
166	115	576
167	116	575
168	116	574
169	118	577
170	119	576
171	119	576
172	120	576
173	121	576
174	122	575
175	122	574
176	123	573
177	124	572
178	124	572
179	125	571
180	127	576
181	128	575
182	128	574
183	129	573
184	130	573
185	130	572
186	131	571
187	132	570
188	132	569
189	133	568
190	134	567
191	134	567
192	135	566
193	136	565
194	136	564
195	137	563
196	138	562
197	138	561
198	139	561
199	140	560
200	141	561
201	142	561
202	142	560
203	143	559
204	144	558
205	144	557
206	145	557
207	146	556
208	146	555
209	147	554
210	148	553
211	148	552
212	149	551
213	149	550
214	150	550
215	151	549
216	151	548
217	152	547
218	155	554
219	156	553
220	156	553
221	157	552
222	158	551
223	158	550
224	159	549
225	160	548
226	160	547
227	161	546
228	162	545
229	162	544
230	163	543
231	163	542
232	164	541
233	165	541
234	165	540
235	166	539
236	167	539
237	168	539
238	169	540
239	170	539
240	171	539
241	171	538
242	172	537
243	173	536
244	173	535
245	174	534
246	175	533
247	175	532
248	176	531
249	176	530
250	177	529
251	178	528
252	178	528
253	179	527
254	180	526
255	180	525
256	181	525
257	182	524
258	183	525
259	184	525
260	185	525
261	186	524
262	186	523
263	187	522
264	188	522
265	188	521
266	189	520
267	190	519
268	190	518
269	191	517
270	192	516
271	192	516
272	193	515
273	194	514
274	194	513
275	195	512
276	196	511
277	196	511
278	198	512
279	198	511
280	199	510
281	200	509
282	200	508
283	201	507
284	202	506
285	202	505
286	203	504
287	203	504
288	204	503
289	205	502
290	205	501
291	206	500
292	207	499
293	207	498
294	208	498
295	208	496
296	209	496
297	210	495
298	211	495
299	212	495
300	213	494
301	213	494
302	214	493
303	215	492
304	215	491
305	216	490
306	217	489
307	217	489
308	218	488
309	218	487
310	219	486
311	220	485
312	220	484
313	221	484
314	222	483
315	222	482
316	223	481
317	224	481
318	225	480
319	226	480
320	227	480
321	227	479
322	228	478
323	229	477
324	229	477
325	230	476
326	231	475
327	231	474
328	232	473
329	233	473
330	233	472
331	234	471
332	235	470
333	235	470
334	236	469
335	237	468
336	237	467
337	238	467
338	239	466
339	240	466
340	241	466
341	241	465
342	242	464
343	243	464
344	244	463
345	244	462
346	245	462
347	246	461
348	246	460
349	247	459
350	248	458
351	248	458
352	249	457
353	250	456
354	250	455
355	251	455
356	252	454
357	252	453
358	253	452
359	254	452
360	255	452
361	256	451
362	256	450
363	257	449
364	258	448
365	258	448
366	259	447
367	260	447
368	260	446
369	261	445
370	262	445
371	263	445
372	264	444
373	264	443
374	265	442
375	266	442
376	267	441
377	267	440
378	269	440
379	269	440
380	270	439
381	271	438
382	271	437
383	272	437
384	273	436
385	273	435
386	274	434
387	275	433
388	275	433
389	276	432
390	277	431
391	277	430
392	278	429
393	279	429
394	279	428
395	280	427
396	281	427
397	281	426
398	283	426
399	283	425
400	284	425
